order_id,order_date,customer_id,category,quantity,unit_price,total_amount,discount_pct,status,shipping_days,rating
ORD-00001,2023-06-01,1499,Clothing,2,129.39,258.78,0,pending,1,3.0
ORD-00002,2023-06-02,1149,Clothing,4,128.91,515.64,0,completed,1,2.0
ORD-00003,2023-06-05,1076,Home,2,13.29,26.58,0,refunded,8,
ORD-00004,2023-06-06,1283,Clothing,1,61.42,61.42,0,completed,1,3.0
ORD-00005,2023-06-07,1035,Sports,2,,285.76,5,completed,1,4.0
ORD-00006,2023-06-08,1221,Clothing,1,22.79,22.79,10,completed,1,4.0
ORD-00007,2023-06-09,1015,Books,3,,73.62,0,refunded,6,4.0
ORD-00008,2023-06-12,1473,Sports,5,23.87,119.35,0,pending,1,5.0
ORD-00009,2023-06-13,1298,Clothing,6,9.32,55.92,10,completed,2,3.0
ORD-00010,2023-06-14,1303,Home,5,24.27,121.35,10,completed,1,4.0
ORD-00011,2023-06-15,1117,Books,2,87.61,175.22,15,completed,4,5.0
ORD-00012,2023-06-16,1078,Books,7,24.35,170.45,10,completed,14,3.0
ORD-00013,2023-06-19,1364,Home,4,35.61,142.44,0,completed,7,5.0
ORD-00014,2023-06-20,1473,Electronics,2,27.12,54.24,0,completed,3,4.0
ORD-00015,2023-06-21,1093,Clothing,2,78.33,156.66,0,cancelled,2,2.0
ORD-00016,2023-06-22,1117,Clothing,1,43.35,43.35,0,completed,1,4.0
ORD-00017,2023-06-23,1283,Home,6,11.44,68.64,10,completed,3,
ORD-00018,2023-06-26,1354,Clothing,4,4.69,18.76,15,completed,2,3.0
ORD-00019,2023-06-27,1364,Clothing,7,34.09,238.63,5,pending,7,4.0
ORD-00020,2023-06-28,1125,Clothing,4,90.62,362.48,5,cancelled,1,5.0
ORD-00021,2023-06-29,1491,Electronics,5,7.66,38.3,0,completed,1,3.0
ORD-00022,2023-06-30,1470,Home,3,25.05,75.15,0,completed,7,5.0
ORD-00023,2023-07-03,1309,Clothing,1,10.68,10.68,5,completed,2,
ORD-00024,2023-07-04,1288,Electronics,5,13.4,67.0,0,completed,2,4.0
ORD-00025,2023-07-05,1458,Clothing,1,104.2,104.2,10,completed,1,4.0
ORD-00026,2023-07-06,1192,Electronics,1,,43.81,0,completed,1,3.0
ORD-00027,2023-07-07,1457,Sports,5,70.27,351.35,0,completed,1,4.0
ORD-00028,2023-07-10,1274,Clothing,2,84.33,168.66,10,pending,1,4.0
ORD-00029,2023-07-11,1183,Electronics,4,102.65,410.6,10,completed,1,4.0
ORD-00030,2023-07-12,1028,Clothing,3,7.85,23.55,0,completed,6,5.0
ORD-00031,2023-07-13,1054,Books,4,158.77,635.08,10,completed,4,4.0
ORD-00032,2023-07-14,1465,Home,7,23.73,166.11,5,cancelled,2,5.0
ORD-00033,2023-07-17,1334,Sports,6,43.84,263.04,5,completed,1,4.0
ORD-00034,2023-07-18,1232,Books,7,29.87,209.09,0,pending,1,5.0
ORD-00035,2023-07-19,1238,Sports,5,7.59,37.95,0,completed,2,4.0
ORD-00036,2023-07-20,1485,Sports,5,9.02,45.1,0,pending,1,4.0
ORD-00037,2023-07-21,1176,Clothing,2,68.07,136.14,0,completed,2,5.0
ORD-00038,2023-07-24,1345,Home,7,27.67,193.69,10,completed,2,5.0
ORD-00039,2023-07-25,1073,Clothing,2,26.57,53.14,0,cancelled,1,2.0
ORD-00040,2023-07-26,1029,Clothing,2,31.39,62.78,0,completed,3,5.0
ORD-00041,2023-07-27,1186,Clothing,1,17.49,17.49,0,completed,1,
ORD-00042,2023-07-28,1165,Electronics,6,29.27,175.62,0,completed,3,5.0
ORD-00043,2023-07-31,1283,Sports,2,16.65,33.3,15,completed,1,4.0
ORD-00044,2023-08-01,1349,Clothing,4,228.74,914.96,0,completed,2,2.0
ORD-00045,2023-08-02,1454,Sports,4,72.54,290.16,0,completed,1,4.0
ORD-00046,2023-08-03,1273,Electronics,7,23.99,167.93,5,completed,4,5.0
ORD-00047,2023-08-04,1026,Electronics,3,32.85,98.55,0,cancelled,2,3.0
ORD-00048,2023-08-07,1135,Clothing,3,67.43,202.29,20,cancelled,1,
ORD-00049,2023-08-08,1486,Home,4,64.03,256.12,15,completed,1,4.0
ORD-00050,2023-08-09,1440,Home,6,30.48,182.88,0,completed,1,4.0
ORD-00051,2023-08-10,1375,Books,5,,242.1,15,completed,1,4.0
ORD-00052,2023-08-11,1296,Sports,1,185.74,185.74,0,completed,1,2.0
ORD-00053,2023-08-14,1216,Home,5,20.1,100.5,0,completed,10,5.0
ORD-00054,2023-08-15,1114,Clothing,6,25.97,155.82,0,pending,1,2.0
ORD-00055,2023-08-16,1367,Clothing,4,48.45,193.8,0,completed,7,4.0
ORD-00056,2023-08-17,1094,Home,2,4.47,8.94,10,completed,2,2.0
ORD-00057,2023-08-18,1309,Sports,5,26.03,130.15,0,completed,1,5.0
ORD-00058,2023-08-21,1006,Clothing,4,18.6,74.4,15,completed,1,5.0
ORD-00059,2023-08-22,1204,Sports,3,38.49,115.47,5,completed,8,4.0
ORD-00060,2023-08-23,1106,Clothing,4,32.34,129.36,0,completed,3,5.0
ORD-00061,2023-08-24,1311,Clothing,6,99.08,594.48,5,completed,1,4.0
ORD-00062,2023-08-25,1315,Sports,2,23.59,47.18,15,cancelled,1,4.0
ORD-00063,2023-08-28,1135,Home,2,111.57,223.14,0,completed,1,3.0
ORD-00064,2023-08-29,1461,Home,4,65.06,260.24,0,pending,6,1.0
ORD-00065,2023-08-30,1321,Sports,2,24.43,48.86,0,refunded,4,3.0
ORD-00066,2023-08-31,1436,Clothing,5,70.55,352.75,0,completed,1,
ORD-00067,2023-09-01,1460,Clothing,6,71.87,431.22,5,completed,1,2.0
ORD-00068,2023-09-04,1465,Clothing,5,100.56,502.8,0,completed,1,5.0
ORD-00069,2023-09-05,1327,Clothing,4,38.63,154.52,5,pending,4,5.0
ORD-00070,2023-09-06,1180,Electronics,1,22.06,22.06,0,completed,1,3.0
ORD-00071,2023-09-07,1051,Electronics,1,26.75,26.75,0,completed,1,4.0
ORD-00072,2023-09-08,1060,Clothing,2,24.28,48.56,0,pending,1,4.0
ORD-00073,2023-09-11,1425,Books,3,35.81,107.43,5,completed,3,
ORD-00074,2023-09-12,1216,Electronics,2,31.95,63.9,5,pending,2,4.0
ORD-00075,2023-09-13,1014,Home,1,29.99,29.99,10,completed,1,5.0
ORD-00076,2023-09-14,1198,Home,4,29.45,117.8,10,completed,1,3.0
ORD-00077,2023-09-15,1329,Electronics,1,19.49,19.49,15,completed,3,3.0
ORD-00078,2023-09-18,1344,Home,6,,188.22,0,completed,1,
ORD-00079,2023-09-19,1208,Electronics,4,110.38,441.52,10,completed,1,3.0
ORD-00080,2023-09-20,1008,Home,4,7.14,28.56,0,completed,1,4.0
ORD-00081,2023-09-21,1051,Home,3,58.26,174.78,10,completed,3,5.0
ORD-00082,2023-09-22,1367,Books,1,59.99,59.99,0,refunded,1,
ORD-00083,2023-09-25,1428,Home,7,50.53,353.71,10,completed,1,4.0
ORD-00084,2023-09-26,1115,Sports,6,62.04,372.24,10,cancelled,2,3.0
ORD-00085,2023-09-27,1297,Electronics,1,18.03,18.03,0,completed,2,5.0
ORD-00086,2023-09-28,1322,Sports,3,73.0,219.0,0,refunded,2,4.0
ORD-00087,2023-09-29,1081,Electronics,4,95.77,383.08,0,completed,1,4.0
ORD-00088,2023-10-02,1067,Clothing,3,41.61,124.83,0,cancelled,2,5.0
ORD-00089,2023-10-03,1267,Sports,4,82.9,331.6,15,completed,4,4.0
ORD-00090,2023-10-04,1479,Home,3,37.22,111.66,20,cancelled,1,5.0
ORD-00091,2023-10-05,1473,Clothing,5,8.68,43.4,0,refunded,3,5.0
ORD-00092,2023-10-06,1091,Sports,1,33.85,33.85,15,pending,6,3.0
ORD-00093,2023-10-09,1222,Clothing,4,25.76,103.04,10,completed,8,4.0
ORD-00094,2023-10-10,1132,Books,3,22.13,66.39,20,completed,1,3.0
ORD-00095,2023-10-11,1202,Clothing,4,18.17,72.68,0,cancelled,4,
ORD-00096,2023-10-12,1478,Electronics,6,198.08,1188.48,0,refunded,7,5.0
ORD-00097,2023-10-13,1320,Clothing,6,18.7,112.2,5,completed,1,4.0
ORD-00098,2023-10-16,1202,Home,6,101.23,607.38,15,completed,12,2.0
ORD-00099,2023-10-17,1359,Clothing,6,18.52,111.12,0,completed,7,4.0
ORD-00100,2023-10-18,1135,Home,2,79.67,159.34,0,completed,1,4.0
ORD-00101,2023-10-19,1120,Sports,5,28.05,140.25,0,completed,2,4.0
ORD-00102,2023-10-20,1164,Books,5,78.26,391.3,0,cancelled,2,5.0
ORD-00103,2023-10-23,1059,Sports,2,111.27,222.54,5,completed,1,5.0
ORD-00104,2023-10-24,1070,Sports,6,18.22,109.32,15,completed,11,5.0
ORD-00105,2023-10-25,1029,Clothing,6,,846.06,0,completed,1,4.0
ORD-00106,2023-10-26,1104,Clothing,7,28.21,197.47,0,refunded,1,4.0
ORD-00107,2023-10-27,1298,Sports,4,14.01,56.04,20,pending,9,5.0
ORD-00108,2023-10-30,1277,Books,7,71.09,497.63,0,completed,1,3.0
ORD-00109,2023-10-31,1450,Clothing,4,40.61,162.44,5,completed,1,3.0
ORD-00110,2023-11-01,1368,Books,5,26.15,130.75,0,completed,5,4.0
ORD-00111,2023-11-02,1480,Home,5,17.38,86.9,0,completed,9,5.0
ORD-00112,2023-11-03,1186,Clothing,2,21.26,42.52,0,refunded,1,
ORD-00113,2023-11-06,1139,Clothing,7,128.15,897.05,0,cancelled,1,5.0
ORD-00114,2023-11-07,1155,Books,7,26.96,188.72,0,completed,1,5.0
ORD-00115,2023-11-08,1191,Clothing,4,,140.48,0,pending,3,4.0
ORD-00116,2023-11-09,1079,Electronics,4,86.79,347.16,0,completed,4,4.0
ORD-00117,2023-11-10,1210,Home,6,20.34,122.04,0,cancelled,2,5.0
ORD-00118,2023-11-13,1227,Home,3,8.57,25.71,0,completed,12,3.0
ORD-00119,2023-11-14,1371,Clothing,4,111.43,445.72,0,completed,1,4.0
ORD-00120,2023-11-15,1308,Home,6,15.98,95.88,0,completed,5,
ORD-00121,2023-11-16,1032,Electronics,1,104.08,104.08,15,completed,1,5.0
ORD-00122,2023-11-17,1084,Books,4,24.41,97.64,10,completed,1,4.0
ORD-00123,2023-11-20,1256,Home,5,19.7,98.5,0,completed,1,4.0
ORD-00124,2023-11-21,1127,Electronics,6,8.95,53.7,10,completed,1,2.0
ORD-00125,2023-11-22,1283,Books,4,14.22,56.88,5,completed,1,5.0
ORD-00126,2023-11-23,1072,Electronics,2,44.37,88.74,15,cancelled,3,5.0
ORD-00127,2023-11-24,1293,Sports,6,67.31,403.86,20,completed,1,5.0
ORD-00128,2023-11-27,1031,Clothing,6,87.86,527.16,15,completed,1,4.0
ORD-00129,2023-11-28,1040,Clothing,1,90.69,90.69,0,pending,2,5.0
ORD-00130,2023-11-29,1437,Home,1,138.03,138.03,15,refunded,3,3.0
ORD-00131,2023-11-30,1061,Clothing,1,44.01,44.01,5,completed,1,5.0
ORD-00132,2023-12-01,1189,Electronics,7,36.37,254.59,10,completed,1,4.0
ORD-00133,2023-12-04,1082,Clothing,3,37.42,112.26,5,pending,3,3.0
ORD-00134,2023-12-05,1186,Home,4,9.36,37.44,10,completed,1,5.0
ORD-00135,2023-12-06,1290,Books,5,,725.3,20,completed,2,5.0
ORD-00136,2023-12-07,1068,Home,1,176.44,176.44,5,completed,1,4.0
ORD-00137,2023-12-08,1311,Sports,1,23.47,23.47,0,completed,3,5.0
ORD-00138,2023-12-11,1374,Sports,4,35.4,141.6,0,pending,2,5.0
ORD-00139,2023-12-12,1138,Electronics,1,23.0,23.0,5,completed,4,
ORD-00140,2023-12-13,1258,Books,7,21.16,148.12,10,completed,1,4.0
ORD-00141,2023-12-14,1044,Sports,2,15.83,31.66,10,pending,4,3.0
ORD-00142,2023-12-15,1457,Clothing,3,88.36,265.08,0,completed,2,5.0
ORD-00143,2023-12-18,1310,Sports,1,53.18,53.18,0,completed,2,4.0
ORD-00144,2023-12-19,1441,Clothing,1,35.36,35.36,5,completed,1,4.0
ORD-00145,2023-12-20,1435,Electronics,5,232.35,1161.75,0,refunded,4,
ORD-00146,2023-12-21,1440,Electronics,4,10.81,43.24,0,completed,1,3.0
ORD-00147,2023-12-22,1094,Electronics,2,80.53,161.06,0,pending,1,4.0
ORD-00148,2023-12-25,1162,Clothing,6,,94.86,0,cancelled,4,5.0
ORD-00149,2023-12-26,1175,Home,1,18.42,18.42,15,completed,1,5.0
ORD-00150,2023-12-27,1332,Clothing,2,111.92,223.84,0,completed,8,4.0
ORD-00151,2023-12-28,1432,Clothing,3,110.64,331.92,0,pending,1,5.0
ORD-00152,2023-12-29,1182,Clothing,3,14.17,42.51,10,completed,1,4.0
ORD-00153,2024-01-01,1078,Clothing,3,67.79,203.37,0,refunded,1,4.0
ORD-00154,2024-01-02,1100,Clothing,7,47.46,332.22,0,pending,1,5.0
