reading_id,timestamp,sensor_id,location,grid_x,grid_y,temperature_c,humidity_pct,co2_ppm,noise_db,occupancy
1,2024-03-01 00:00:00,SENSOR-001,Floor 1 - Zone A,0.995,0.91,,57.1,471.0,38.2,0
2,2024-03-01 00:00:00,SENSOR-002,Floor 1 - Zone B,1.022,1.89,23.4,54.6,427.0,52.0,1
3,2024-03-01 00:00:00,SENSOR-003,Floor 1 - Zone C,0.9,2.976,24.0,66.0,471.0,49.0,1
4,2024-03-01 00:00:00,SENSOR-004,Floor 2 - Zone A,2.06,1.025,21.2,53.1,383.0,34.0,1
5,2024-03-01 00:00:00,SENSOR-005,Floor 2 - Zone B,2.073,2.011,21.6,58.6,433.0,36.9,1
6,2024-03-01 00:00:00,SENSOR-006,Floor 2 - Zone C,2.077,3.025,23.6,64.2,393.0,27.5,1
7,2024-03-01 00:00:00,SENSOR-007,Floor 3 - Zone A,2.96,1.045,21.2,58.6,500.0,35.1,1
8,2024-03-01 00:00:00,SENSOR-008,Floor 3 - Zone B,3.034,1.972,19.4,50.7,409.0,39.9,0
9,2024-03-01 00:00:00,SENSOR-009,Floor 3 - Zone C,3.036,3.014,22.2,56.1,574.0,34.7,1
10,2024-03-01 00:00:00,SENSOR-010,Floor 4 - Zone A,3.991,0.967,19.8,56.1,460.0,29.4,1
11,2024-03-01 00:00:00,SENSOR-011,Floor 4 - Zone B,3.959,1.966,22.9,64.9,474.0,42.6,0
12,2024-03-01 00:00:00,SENSOR-012,Floor 4 - Zone C,4.051,2.997,20.2,61.4,429.0,45.0,0
13,2024-03-01 00:00:00,SENSOR-013,Rooftop - North,4.917,1.582,25.7,54.5,482.0,24.3,1
14,2024-03-01 00:00:00,SENSOR-014,Rooftop - South,4.999,2.431,25.8,69.5,328.0,38.4,1
15,2024-03-01 00:00:00,SENSOR-015,Basement - Main,0.05,2.051,19.0,47.4,404.0,42.1,1
16,2024-03-01 00:00:00,SENSOR-016,Basement - Storage,-0.034,0.981,85.0,56.6,407.0,44.0,1
17,2024-03-01 00:00:00,SENSOR-017,Lobby - Entrance,0.474,1.98,20.5,74.3,395.0,42.0,0
